,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
0,2012-01-01,8.0,9.825,14,58.0
1,2012-01-02,7.0,7.4375,12,
2,2012-01-03,8.0,5.5375,18,63.0
3,2012-01-04,4.0,5.6875,19,80.0
4,2012-01-05,6.0,5.3,23,80.0
5,2012-01-06,3.0,2.625,10,
6,2012-01-07,7.0,6.528571,14,61.0
7,2012-01-08,7.0,5.9625,10,80.0
8,2012-01-09,8.0,5.15,12,61.0
9,2012-01-10,6.0,6.1125,10,
10,2012-01-11,6.0,7.8625,16,51.0
11,2012-01-12,7.0,7.4375,25,61.0
12,2012-01-13,2.0,4.8,18,
13,2012-01-14,3.0,2.8875,10,
14,2012-01-15,1.0,2.225,6,
15,2012-01-16,8.0,3.0625,6,61.0
16,2012-01-17,6.0,4.4875,10,
17,2012-01-18,7.0,2.35,12,51.0
18,2012-01-19,8.0,5.2625,16,80.0
19,2012-01-20,6.0,3.4375,12,26.0
20,2012-01-21,7.0,3.5375,16,68.0
21,2012-01-22,6.0,3.7875,12,21.0
22,2012-01-23,5.0,2.2125,4,10.0
23,2012-01-24,3.0,1.7625,6,
24,2012-01-25,3.0,-0.1875,8,
25,2012-01-26,2.0,0.3625,12,
26,2012-01-27,8.0,-1.0,10,71.0
27,2012-01-28,6.0,-1.3875,10,10.0
28,2012-01-29,7.0,-3.1625,8,71.0
29,2012-01-30,3.0,-2.275,12,
30,2012-01-31,1.0,-2.375,18,
31,2012-02-01,7.0,-1.825,16,71.0
32,2012-02-02,6.0,-5.85,8,85.0
33,2012-02-03,4.0,-5.85,14,3.0
34,2012-02-04,4.0,-7.5375,10,71.0
35,2012-02-05,5.0,-7.7125,8,
36,2012-02-06,4.0,-10.25,6,10.0
37,2012-02-07,6.0,-3.0,18,71.0
38,2012-02-08,6.0,-2.7625,10,
39,2012-02-09,6.0,-1.6625,21,3.0
40,2012-02-10,6.0,-2.8125,8,71.0
41,2012-02-11,7.0,-4.575,8,78.0
42,2012-02-12,8.0,-1.2375,16,72.0
43,2012-02-13,6.0,-2.325,8,10.0
44,2012-02-14,8.0,1.3,10,47.0
45,2012-02-15,1.0,4.8625,18,
46,2012-02-16,7.0,2.9625,10,61.0
47,2012-02-17,5.0,5.5625,14,
48,2012-02-18,8.0,6.175,14,61.0
49,2012-02-19,4.0,4.2,18,25.0
50,2012-02-20,5.0,4.1125,14,
51,2012-02-21,8.0,4.95,14,58.0
52,2012-02-22,7.0,7.175,18,51.0
53,2012-02-23,6.0,8.4125,18,
54,2012-02-24,7.0,8.35,19,20.0
55,2012-02-25,6.0,6.525,19,61.0
56,2012-02-26,1.0,4.675,8,
57,2012-02-27,8.0,3.725,12,61.0
58,2012-02-28,8.0,7.675,14,51.0
59,2012-02-29,8.0,7.775,10,47.0
60,2012-03-01,6.0,7.625,12,43.0
61,2012-03-02,7.0,5.9125,6,28.0
62,2012-03-03,5.0,7.0375,14,
63,2012-03-04,7.0,4.675,8,
64,2012-03-05,7.0,4.875,10,
65,2012-03-06,4.0,4.5125,10,
66,2012-03-07,7.0,4.05,10,61.0
67,2012-03-08,2.0,7.5125,14,
68,2012-03-09,8.0,7.825,14,10.0
69,2012-03-10,6.0,8.7,19,10.0
70,2012-03-11,6.0,8.95,14,
71,2012-03-12,5.0,9.0125,18,
72,2012-03-13,6.0,9.95,16,1.0
73,2012-03-14,7.0,7.7875,10,
74,2012-03-15,6.0,7.4,8,
